id,parent_skill,name,description,left_or_right
18,16,Pure Escapism,"<li><img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">Lose debuffs</span> when you dodge. <span class=""explain"">(Once every 20s)</span></li>",right
21,15,Angular Momentum,"<li>+15% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> from behind and after dodging.</li>",right
22,21,Precision,"<li>Crit chance builds faster. <span class=""explain"">(+25%)</span></li>",left
23,21,Battle Ready,"<li>+10% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>, additional +5 while attacking.</li>",right
24,,Blade Dance,Spinning attack that lets you move quickly. Cooldown increases the longer it's performed,none
25,24,Bleed Dance,"<li>Inflicts <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleeding</span> on hit. <span class=""explain"">(3s)</span></li><li>Bleed stacks up to 10 times. <span class=""explain"">(5 to 50 dmg/s)</span></li>",left
26,25,Deadly Dance,"<li>If a foe reaches the maximum bleed stacks, <strong>[LMB] TALON</strong> gains a <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> boost. <span class=""explain"">(+25% damage, 3s)</span></li>",left
27,25,Cyclone,<li>Hit radius is 50% larger.</li>,right
28,24,Windborne,"<li>Move <img src=""/images/common/buff/speed.png""> <span class=""speed"">faster</span> during <strong>BLADE DANCE</strong>. <span class=""explain"">(+35% speed)</span></li>",right
29,28,Hard Target,"<li><img src=""/images/common/buff/reflect.png""> <span class=""reflect"">Reflect</span> projectiles from front during <strong>BLADE DANCE</strong>.</li>",left
30,28,Windswept,"<li>Cooldown is set to 6s and increases each time an enemy is hit. <span class=""explain"">(+0.35s per hit)</span></li>",right
31,,Fang,Send out your pet to attack. Deals armor-ignoring damage and bleeds target for 5s.,none
32,31,Pounce,"<li>On hit, deal 150 armor-ignoring <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",left
33,32,Gnawing Out,"<li>On hit, <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">cracks armor</span>. <span class=""explain"">(-10 armor, 3s)</span></li>",left
34,32,Ankle Biter,"<li>On hit, <img src=""/images/common/cc/slow.png""> <span class=""slow"">slow</span> enemies. <span class=""explain"">(3s)</span></li>",right
35,31,Unity,"<li><strong>[E],[E]:</strong> Teleport to enemy <strong>FANG</strong> is attacking. <span class=""explain"">(Upon teleport, <strong>FANG</strong> stops attacking.)</span></li>",right
36,35,Celerity,"<li><strong>[E],[E]:</strong> Upon teleport, gain <img src=""/images/common/buff/speed.png""> <span class=""speed"">haste</span>. <span class=""explain"">(+33%, 3s)</span></li>",left
37,35,Disruption,"<li><strong>[E],[E]:</strong> Upon teleport, <img src=""/images/common/cc/daze.png""> <span class=""daze"">daze</span> <strong>FANG'S</strong> target. <span class=""explain"">(1s)</span></li>",right
38,,Swooping It Up,<li><strong>[RMB]: SWOOP</strong> gives +15 stamina.</li><li><strong>DURING CLASH:</strong> -3s cooldown if you are below 50% health.</li>,none
39,,Equilibrium,"<li><strong>[Q]: BLADE DANCE</strong> lasts 50% longer.</li><li><strong>DURING CLASH:</strong> +20 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> during <strong>BLADE DANCE</strong>.</li>",none
40,,Pet Projectile,"<li><strong>[E]: FANG</strong> travels farther <span class=""explain"">(+10m)</span> and has 33% reduced cooldown.</li><li><strong>DURING CLASH: [LMB] TALON</strong> deals +10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> against bleeding foes.</li>",none
41,,Slash,Melee attack combo. Sir Cador deals triple damage to enemies struck by this attack.,none
42,41,Father's Lessons,"<li>Deals +15% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> to foes recently struck by Sir Cador.</li>",left
44,42,Father's Flame,"<li>Deal more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> to burning enemies. <span class=""explain"">(+60 dmg)</span></li>",left
45,42,Father's Reproof,"<li><img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">Weakens</span> enemies with each hit. <span class=""explain"">(-5% damage, stacks up to 5 times, 3s duration)</span></li>",right
46,41,Spectral Wave,<li>Send out a projectile that pierces enemies.</li><li>No longer perform a melee attack.</li>,right
47,46,Spectral Might,"<li>Hitting allies gains +15% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(5s duration)</span></li>",left
48,46,Spectral Defense,"<li>Hitting allies gain +20 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>. <span class=""explain"">(5s duration)</span></li>",right
49,,Cador's Command,"Summon or direct Sir Cador. Sir Cador has a 300 HP shield. On death, Sir Cador enters your sword, stunning you briefly.",none
50,49,Cador's Charge,"<li>Sir Cador gains +50% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(Once every 7s)</span></li>",left
51,50,Fast Recharge,"<li>Sir Cador performs his attack more often. <span class=""explain"">(Once every 3s)</span></li>",left
52,50,Burning Blade,"<li>Sir Cador inflicts <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burning</span>. <span class=""explain"">(40 dmg/s, 3s duration)</span></li>",right
53,49,Cador's Defenses,"<li>Allies near Sir Cador gain +10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>.</li>",right
54,53,Cador's Might,"<li>Allies near Sir Cador deal +15% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> with basic attacks.</li>",left
55,53,Cador's Restoration,"<li>Allies near Sir Cador gain <img src=""/images/common/buff/health.png""> <span class=""health"">30 HP/s</span>.</li>",right
56,,Terrify,"Enemies near your targeted area <span class=""explain"">(10m range)</span> are launched, slowed, and weakened. <span class=""explain"">(4/6/8s)</span>",none
57,56,Ghostly Might,"<li><strong>[LMB]:</strong> Deal +10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> when Sir Cador is in the blade.</li><li>Sir Cador deals +10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",left
58,57,En Garde,"<li>+20% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> while attacking.</li>",left
59,57,Will to Power,"<li><strong>[F]:</strong> +10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and +10% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",right
60,56,Skirmishing,<li>Faster stamina regen while in combat.</li><li>Out of combat health regen starts 2s sooner.</li>,right
61,60,Pure Escapism,"<li><img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">Lose debuffs</span> when you dodge. <span class=""explain"">(Once every 20s)</span></li>",left
62,60,Hit and Run,"<li><strong>[F]:</strong> +10% <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed</span> and +10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",right
63,,Cador's War Cry,Sir Cador slows enemies for 2s and interrupts nearby attacking enemies.,none
64,63,Chastise,"<li>Upon interrupting an attack, Sir Cador inflicts <img src=""/images/common/cc/cripple.png""> <span class=""cripple"">cripple</span>. <span class=""explain"">(3s)</span></li>",left
65,64,Intimidation,"<li>Upon interrupting an attack, Sir Cador inflicts <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">major weakness</span>. <span class=""explain"">(-50% damage, 3s duration)</span></li>",left
66,64,Cry More,"<li>Upon interrupting an attack, Sir Cador's cooldown is reduced. <span class=""explain"">(-4s)</span></li>",right
67,63,Spectral Barrier,"<li>Sir Cador creates a <img src=""/images/common/buff/armor.png""> <span class=""armor"">projectile barrier</span>. <span class=""explain"">(3s)</span></li><li>No longer interrupts.</li>",right
68,67,Spectral Armor,"<li>Allies inside the barrier have +20 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>.</li>",left
69,67,Spectral Lens,<li>Allies inside the barrier have 100% crit chance.</li>,right
70,,Into The Blade,"Sir Cador heals you for 100 HP and enters your sword <span class=""explain"">(+10 armor)</span>.",none
71,70,Swift Return,"<li>Gain +20 stamina on use.</li><li>You can <img src=""/images/common/buff/speed.png""> <span class=""speed"">sprint</span> during this skill.</li>",left
72,71,Spirited Run,"<li>Gain +25% <img src=""/images/common/buff/speed.png""> <span class=""speed"">move speed</span> for 4s.</li>",left
73,71,Ardent Blade,"<li>Gain +25% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for 4s.</li>",right
74,70,Shielding Presence,"<li>Gain a 300 HP <img src=""/images/common/buff/armor.png""> <span class=""armor"">shield</span> for 4s.</li>",right
75,74,Aura of Healing,"<li><img src=""/images/common/buff/health.png""> <span class=""health"">Heals</span> you and nearby allies for 200 HP.</li>",left
76,74,Pure of Spirit,"<li>You and nearby allies gain <img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">debuff immunity</span> for 4s.</li>",right
77,,Total Recall,"<li><strong>[E]:</strong> +25% <img src=""/images/common/buff/health.png""> <span class=""health"">healing</span>.</li><li><strong>DURING CLASH:</strong> -50% cooldown if near an enemy. <span class=""explain"">(Within 10m)</span></li>",none
78,,Echoes From Beyond,"<li><strong>[Q]: CADOR'S WAR CRY</strong> affects a larger area.</li><li><strong>DURING CLASH:</strong> On use, Sir Cador gains 750 HP.</li>",none
79,,Command Performance,"<li><strong>[LMB]:</strong> Sir Cador attacking your target is 20% higher.</li><li><strong>DURING CLASH:</strong> These attacks give you more <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span>.</li>",none
80,,Machine Pistols,Shoot from your current weapon. Requires Ammo.,none
81,80,Clip Service,"<li>Gain more ammo. <span class=""explain"">(+12)</span></li>",left
82,81,Close Quarters,"<li>Deal increased <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> at close range. <span class=""explain"">(+10%)</span></li>",left
83,81,AP 'em,<li>Gain +30% armor penetration.</li>,right
84,80,Sharp Shooter,"<li>Changes attack to burst-fire. <span class=""explain"">(5 shots)</span></li><li>Build crit faster and have no spread or recoil.</li>",right
85,84,Painfully Accurate,"<li>Gain +10% to <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(+30% total damage for critical hits)</span></li>",left
86,84,Tactical Shooter,"<li>Deal extra <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> from the back. <span class=""explain"">(+15%)</span></li>",right
87,,Grenade,Throws an explosive grenade.,none
88,87,Crack Troops,"<li><img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">Cracks armor</span>. <span class=""explain"">(-10 armor, 3s)</span></li>",left
89,88,Frag Grenade,<li>Explosion has a larger radius.</li>,left
90,88,Smart Grenade,"<li>Direct hits, deal +100 <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and explodes immediately.</li>",right
91,87,Tear Gas,"<li>Creates <img src=""/images/common/debuff/poison.png""> <span class=""poison"">poison</span> areas when it bounces. <span class=""explain"">(-50% healing, 3s)</span></li>",right
92,91,Lingering Fumes,"<li>Poison areas last longer. <span class=""explain"">(6s)</span></li>",left
93,91,Exhaust Fumes,"<li><strong>[E],[RMB]:</strong> Using the <strong>JETPACK</strong> reduces <strong>GRENADE</strong> cooldown by 10s.</li>",right
94,,Air Strike,Target an area on the ground. A series of 3 missiles is fired at that location.,none
95,94,Precision,"<li><strong>[LMB]:</strong> Crit chance builds faster. <span class=""explain"">(+25%)</span></li>",left
96,95,Tactical Awareness,"<li>+10 back <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>.</li><li>+10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> from behind.</li>",left
97,95,En Garde,"<li>+20% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> while attacking.</li>",right
98,94,Will to Power,"<li><strong>[F]:</strong> +10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and +10% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",right
99,98,Supreme Will,<li><strong>[F]:</strong> 100% crit chance and +100 stamina when you use <strong>FOCUS</strong>.</li>,left
100,98,Refocus,"<li><strong>[F]:</strong> +15% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> gain.</li><li>+25% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> gain after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",right
101,,Cannon,Switch between <strong>MACHINE PISTOLS</strong> and <strong>CANNON</strong>.,none
102,101,Rocket Booster,"<li><strong>[Q],[LMB]: CANNON</strong> shots move faster and have longer range.</li>",left
103,102,Arming Time,"<li><strong>[Q],[LMB]: CANNON</strong> shots deal more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> the further they travel. <span class=""explain"">(Up to 15%)</span></li>",left
104,102,Fully Loaded,"<li><strong>[Q],[LMB]:</strong> With full ammo, <strong>CANNON</strong> deals +100 <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",right
105,101,Flame Cannon,"<li><strong>[Q],[LMB]: CANNON</strong> shots set enemies on <img src=""/images/common/debuff/burn.png""> <span class=""burn"">fire</span>, but have reduced range. <span class=""explain"">(30 dmg/s, 3s)</span></li>",right
106,105,After Burner,"<li><strong>[Q],[LMB]: CANNON</strong> shots pierce through enemies, <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burning</span> all enemies hit.</li>",left
107,105,Blast Radius,"<li><strong>[Q],[LMB]: CANNON</strong> shots explode on impact, dealing area <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",right
108,,Jetpack,"Turns on Jetpack. Press jump to boost upward. <span class=""explain"">(4s)</span>",none
109,108,Fuel Capacity,<li>Fly for 2s longer.</li>,left
110,109,Up and Away,<li>Can jump in the air 1 additional time.</li>,left
111,109,Jet Powered,"<li>While jetpacking: <strong>[LMB] MACHINE PISTOLS</strong> deals +15% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",right
112,108,Rocketpack,<li><strong>SPRINT+[E]:</strong> Rocket dash on start. Continue jetpacking afterward.</li>,right
113,112,Ignition Switch,"<li><strong>SPRINT+[E]:</strong> Leaves a trail of <img src=""/images/common/debuff/burn.png""> <span class=""burn"">fire</span> on the ground on start.</li>",left
114,112,Blast Away,"<li><strong>SPRINT+[E]:</strong> <img src=""/images/common/cc/push.png""> <span class=""push"">Pushes</span> enemies away on start.</li>",right
115,,Ready to Jet,"<li><strong>[E]:</strong> Gain 25 stamina.</li><li><strong>DURING CLASH:</strong> Gain double <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> while jetpacking.</li>",none
116,,Outgunned,"<li><strong>[Q]:</strong> After switching weapons, basic attacks deal +7% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for 3s.</li><li><strong>DURING CLASH:</strong> +15% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",none
117,,Grenadier,"<li><strong>[RMB]: GRENADE</strong> has a lower cooldown. <span class=""explain"">(-2s)</span></li><li><strong>DURING CLASH:</strong> Additional -2s cooldown.</li>",none
118,,Fireball,Projectile that explodes on impact. Hold <strong>[LMB]</strong> to power up.,none
119,118,Big Ball of Fire,<li>Gain a third charge stage.</li>,left
120,119,Bigger Ball of Fire,"<li>When fully charged, increases <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> explosion radius.</li>",left
121,119,Bombastic,"<li>When fully charged, direct hits give +4% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(max +12%)</span></li><li>Lose this bonus if any <strong>FIREBALL</strong> attack misses.</li>",right
122,118,Burn Notice,"<li>When fully charged, direct hits <img src=""/images/common/debuff/burn.png""> <span class=""burn"">ignite foes</span> for 3s.</li>",right
123,122,Extended Notice,"<li>Increases the duration of the <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burn</span>. <span class=""explain"">(5s)</span></li>",left
124,122,Stoke the Fire,"<li>Hitting a foe that is burning deals extra <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">Stage 1: +45 dmg, Stage 2: +70 dmg)</span></li>",right
125,,Dragon's Breath,Short-range cone of flame. Cooldown increases the longer it's used.,none
126,125,Turning up the Heat,<li>Channel <strong>DRAGON'S BREATH</strong> longer.</li>,left
127,126,Scorching Flames,"<li>Increase <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> as you hit enemies. <span class=""explain"">(Max +30% damage)</span></li>",left
128,126,Back Burner,<li>Hitting an enemy in the back ignores all armor.</li>,right
129,125,Fire Shelter,"<li>Gain front projectile <img src=""/images/common/buff/deflect.png""> <span class=""deflect"">deflection</span> and +20% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>.</li>",right
130,129,Fire Wall,"<li>Gain +40% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>.</li>",left
131,129,Backdraft,"<li>On release of <strong>[RMB] DRAGON'S BREATH:</strong> Send out a flame wave that <img src=""/images/common/cc/push.png""> <span class=""push"">pushes</span> enemies.</li>",right
132,,Flame On,"Erupt flames in front of you, popping up enemies and creating burning areas. <span class=""explain"">(4s)</span>",none
133,132,Dominator,"<li><strong>[LMB]:</strong> +5% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for each kill without dying. <span class=""explain"">(Max +15% damage)</span></li>",left
134,133,Battle Fury,"<li>Gain 10% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> for each kill or death.</li>",left
135,133,Remorseless,"<li><img src=""/images/common/buff/speed.png""> <span class=""speed"">Speed</span> and <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> boost after every kill.</li>",right
136,132,Blazing Fast,<li><strong>[LMB]:</strong> Fireball charges faster.</li>,right
137,136,Penetrating Flame,<li><strong>[LMB]:</strong> Charged shots have 30% armor penetration.</li>,left
138,136,Precision Flame,<li><strong>[LMB]:</strong> Charged shots automatically crit.</li>,right
139,,Detonate,"Propel yourself up, forward, or back. Damages and pushes nearby enemies.",none
140,139,Blast Off,"<li><img src=""/images/common/cc/push.png""> <span class=""push"">Pushes</span> enemies further and deals additional <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(+100 dmg)</span></li>",left
141,140,Parting Gift,"<li>Leaves a <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burning</span> area for 3s.</li>",left
142,140,Make it Rain Fire,"<li><strong>[Q],[LMB]: FIREBALL</strong> starts at charge stage 2 for 3s.</li>",right
143,139,Dive Bomb,"<li><strong>[Q],[Q]:</strong> Dive down. On landing, <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burn</span> nearby foes. <span class=""explain"">(3s)</span></li>",right
144,143,Time of Impact,"<li><strong>[Q],[Q]:</strong> For each enemy you hit, cooldown is reduced by 3s. <span class=""explain"">(Minimum cooldown 3s)</span></li>",left
145,143,Superheat,"<li><strong>[Q],[Q]:</strong> For 3s after, any burning you inflict deals +30% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li><li>Adds +3s to cooldown.</li>",right
146,,Hot Hail,Targeted Area: Bombard target location with flaming rocks for 4s.,none
147,146,Hot Coals,"<li><img src=""/images/common/cc/slow.png""> <span class=""slow"">Slows</span> enemies by 25%.</li>",left
148,147,Burnination,<li>Affects a larger area.</li>,left
149,147,Hotter and Hotter,"<li><img src=""/images/common/cc/slow.png""> <span class=""slow"">Slows</span> enemies by 50%.</li>",right
150,146,Hunka Burning Love,"<li>After 2s, a meteor strikes enemies in the targeted area. <span class=""explain"">(375 dmg)</span></li>",right
151,150,Crater,"<li>Enemies hit by the meteor are <img src=""/images/common/cc/stun.png""> <span class=""stun"">stunned</span>.</li>",left
152,150,Meteoric Fall,<li>Meteor no longer has a delay before falling.</li>,right
153,,Hail Yes,"<li><strong>[E]: HOT HAIL</strong> has longer range.</li><li><strong>DURING CLASHL</strong> Gain <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> when a foe dies from burning.</li>",none
154,,Propulsion,"<li><strong>[Q]: DETONATE</strong> <img src=""/images/common/cc/launch.png""> <span class=""launch"">launches</span> farther and hits a larger area.</li><li><strong>DURING CLASH:</strong> Gain <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span> on landing. <span class=""explain"">(+12%, 3s)</span></li>",none
155,,Burning Breath,"<li><strong>[RMB]: DRAGON'S BREATH</strong> inflicts <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burning</span>. <span class=""explain"">(25 dmg/s, 4s)</span></li><li><strong>DURING CLASH:</strong> 50 dmg/s.</li>",none
156,,Reach Out,Beam attack that does modest damage. Portal Beasts prioritize your target and attack targeted heroes faster.,none
158,156,Mark of the Master,"<li><strong>PORTAL BEASTS</strong> inflict <img src=""/images/common/debuff/shock.png""> <span class=""shock"">shock</span> on foes you are attacking. <span class=""explain"">(90 damage over 3s. Does not stack)</span></li>",left
159,158,Spanked,"<li><strong>PORTAL BEASTS</strong> inflict <img src=""/images/common/debuff/shock.png""> <span class=""shock"">major shock</span>. <span class=""explain"">(120 damage over 3s. Does not stack)</span></li>",left
160,158,Mark of Survival,"<li>Gain <img src=""/images/common/buff/health.png""> <span class=""health"">health</span> when you hit shocked enemies. <span class=""explain"">(+75 HP/s)</span></li>",right
161,156,Touch of the Master,"<li>Perform a <img src=""/images/common/buff/health.png""> <span class=""health"">life-stealing</span> melee attack.</li><li>Hitting your pet gives it <img src=""/images/common/buff/health.png""> <span class=""health"">regen</span> <span class=""explain"">(125 HP/s)</span>, faster attack, and 360Â° awareness for 4s.</li>",right
162,161,Shielding Touch,"<li>Hitting your pet grants +25 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>. <span class=""explain"">(5s)</span></li><li>Hitting an enemy grants you and your pets +25 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>. <span class=""explain"">(4s)</span></li>",left
163,161,Empowering Touch,"<li>Hitting your pet grants +35% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(5s)</span></li><li>Hitting an enemy grants you and your pets +35% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(4s)</span></li>",right
164,,Portal Beast,"Create a Portal Beast. <span class=""explain"">(Max 2)</span> 3s cooldown if created in <strong>[Q] RIFT ZONE</strong>. <span class=""explain"">(Destroys RIFT ZONE)</span>",none
165,164,Ambush Hands,"<li>While idle, your beasts are invisible and rapidly regain <img src=""/images/common/buff/health.png""> <span class=""health"">health</span>.</li>",left
166,165,Grasping Hands,"<li>Beasts perform a <img src=""/images/common/buff/health.png""> <span class=""health"">life-stealing</span> attack.</li>",left
167,165,Smashing Hands,"<li>Beasts perform an <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">armor-breaking</span> attack. <span class=""explain"">(5s)</span></li>",right
168,164,Bestial Aura,"<li>Nearby allies gain +10% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and +10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>.</li>",right
169,168,Bestial Attunement,"<li><img src=""/images/common/debuff/damage.png""> <span class=""damage"">Damage</span> and <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> bonuses are +15% / +15 and last longer. <span class=""explain"">(3s)</span></li>",left
170,168,Bestial Feast,"<li>Every 6s, your beasts <img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">eat all debuffs</span> and <img src=""/images/common/buff/health.png""> <span class=""health"">heals</span> nearby allies.</li>",right
171,,The Abyss,Create a Mega Beast. Deals 250/400/550 damage and launches on spawn. Lives for 8s.,none
172,171,Fringe Benefits,"<li>+10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> when you are hit from long or medium range.</li>",left
173,172,Acrobatics,<li>Dodging costs 20% less stamina.</li>,left
174,172,Life Line,"<li>+20% to self <img src=""/images/common/buff/health.png""> <span class=""health"">healing</span>. When out of combat, your health returns faster.</li>",right
175,171,Masterful Focus,"<li><strong>[RMB]:</strong> Portal Beasts provide <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> twice as fast.</li>",right
176,175,Focused Might,"<li>Gain +7% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> when you use <strong>FOCUS</strong>. <span class=""explain"">(Max +14%, lasts until you die)</span></li>",left
177,175,Perseverance,"<li>For 4s, <img src=""/images/common/buff/health.png""> <span class=""health"">+75 HP/s</span> and <img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">disruption immunity</span> after using <strong>FOCUS</strong>.</li>",right
178,,Rift Zone,"Zone: Inflicts cracked armor <span class=""explain"">(-10 armor, 5s, 2.5m radius)</span>",none
